authors,citedby,author_count
"['Boobphahom S.', 'Rodthongkum N.']",0.0,2
"['Chauhan C.', 'Kumar R.', 'Saini A.', 'Kumar R.', 'Kumar J.', 'Kumar S.', 'Aree T.']",0.0,7
"['Satanwat P.', 'Tapaneeyaworawong P.', 'Wechprasit P.', 'Boonprasertsakul T.', 'Pungrasmi W.', 'Sritunyalucksana K.', 'Prachumwat A.', 'Powtongsook S.']",0.0,8
"['Buakaew T.', 'Ratanatamskul C.']",0.0,2
"['Patchaiyappan A.', 'Arulkumar A.', 'Shynshiang K.', 'Anandkumar A.', 'Prabakaran K.', 'Basu A.', 'Sivasankar R.', 'Devipriya S.']",0.0,8
"['Urumarudappa S.K.J.', 'Rosario S.', 'G R.', 'Sukrong S.']",0.0,4
"['Jantorn P.', 'Tipmanee V.', 'Wanna W.', 'Prapasarakul N.', 'Visutthi M.', 'Sotthibandhu D.S.']",0.0,6
"['Pinit S.', 'Ariyakulkiat L.', 'Chaiwanon J.']",0.0,3
"['Thanayutsiri T.', 'Ruttanakorn K.', 'Laiwattanapaisal W.', 'Fernandez R.G.', 'Rojanarata T.']",0.0,5
"['Langsiri N.', 'Worasilchai N.', 'Irinyi L.', 'Jenjaroenpun P.', 'Wongsurawat T.', 'Luangsa-ard J.J.', 'Meyer W.', 'Chindamporn A.']",0.0,8
"['Taecharungroj V.', 'Pattaratanakun A.']",0.0,2
"['Rujiraprasert P.', 'Suriyasangpetch S.', 'Srijunbarl A.', 'Singthong T.', 'Makornpan C.', 'Nampuksa K.', 'Osathanon T.', 'Nantanapiboon D.', 'Monmaturapoj N.']",0.0,9
"['Vimon S.', 'Kertsomboon T.', 'Chirachanchai S.', 'Angkanaporn K.', 'Nuengjamnong C.']",0.0,5
"['Wongvitvichot W.', 'Thitiprasert S.', 'Thongchul N.', 'Chaisuwan T.']",0.0,4
"['Vongseenin S.', 'Ha-ji-a-sa N.', 'Thanprasertsuk S.', 'Bongsebandhu-phubhakdi S.']",0.0,4
"['Khamnil Y.', 'Kao-iean S.', 'Pisarnturakit P.P.']",0.0,3
"['Chuaypen N.', 'Jinato T.', 'Avihingsanon A.', 'Nookaew I.', 'Tanaka Y.', 'Tangkijvanich P.']",0.0,6
"['Cheunwisat P.', 'Kraiwattanawong K.', 'Saelee T.', 'Rittiruam M.', 'Praserthdam S.', 'Praserthdam P.', 'Paz C.V.', 'Salazar-Villanueva M.']",0.0,8
"['Pinsorn P.', 'Sanachai K.', 'Rungrotmongkol T.', 'Hoefgen R.', 'Watanabe M.', 'Brueckner F.', 'Nakabayashi R.', 'Mori T.', 'Oikawa A.', 'Sasaki R.', 'Sucharitakul J.', 'Saito K.', 'Sirikantaramas S.']",0.0,13
"['Thamnium S.', 'Laomeephol C.', 'Pavasant P.', 'Osathanon T.', 'Tabata Y.', 'Wang C.', 'Luckanagul J.A.']",0.0,7
"['Shalumon C.S.', 'Ratanatamskul C.']",0.0,2
"['Kaewbandit N.', 'Malla A.', 'Boonyayothin W.', 'Rattanapisit K.', 'Phetphoung T.', 'Pisuttinusart N.', 'Strasser R.', 'Saetung R.', 'Tawinwung S.', 'Phoolcharoen W.']",0.0,10
"['Rattanapisit K.', 'Bulaon C.J.I.', 'Strasser R.', 'Sun H.', 'Phoolcharoen W.']",0.0,5
"['Chokbunpiam T.', 'Fritzsche S.', 'Ploymeerusmee T.', 'Chanajaree R.', 'Thompho S.', 'Janke W.', 'Hannongbua S.']",0.0,7
"['Piansaddhayanon C.', 'Koracharkornradt C.', 'Laosaengpha N.', 'Tao Q.', 'Ingrungruanglert P.', 'Israsena N.', 'Chuangsuwanich E.', 'Sriswasdi S.']",0.0,8
"['Limpuangthip N.', 'Komin O.']",0.0,2
