authors,citedby,author_count
"['Aungsuroch Y.', 'Nhu X.H.T.', 'Linh T.T.K.', 'Polsook R.', 'Navicharern R.', 'Gunawan J.']",5,6
"['Wan-Ae-Loh P.', 'Huanmanop T.', 'Agthong S.', 'Chentanez V.']",1,4
['Biomedicine A.'],0,1
"['Vongsaisuwon M.', 'Pongpirul K.', 'Chatamara K.']",1,3
"['Sirisabya A.', 'Tooptakong T.', 'Limpaphayom N.']",2,3
"['Puangsricharoen P.', 'Manchana T.']",2,2
"['Warittikoon S.', 'Jakchairoongruang K.']",2,2
"['Suntichaikamolkul N.', 'Tantisuwanichkul K.', 'Prombutara P.', 'Kobtrakul K.', 'Zumsteg J.', 'Wannachart S.', 'Schaller H.', 'Yamazaki M.', 'Saito K.', 'De-Eknamkul W.', 'Vimolmangkang S.', 'Sirikantaramas S.']",13,12
"['Wongwailikhit K.', 'Dietrich N.', 'Hebrard G.', 'Painmanakul P.']",6,4
['Tangjitsitcharoen S.'],0,1
"['Nguyen X.T.K.', 'Pinyakong O.', 'Thayanukul P.']",6,3
"['Tenzin K.', 'Dorji T.', 'Choeda T.', 'Pongpirul K.']",7,4
"['Thampibal L.', 'Vatanawood W.']",2,2
"['Wiriyapistan S.', 'Sinthupinyo S.']",0,2
"['Chong L.-Y.', 'Piromchai P.', 'Sharp S.', 'Snidvongs K.', 'Philpott C.', 'Hopkins C.', 'Burton M.J.']",28,7
"['Buathong N.', 'Pityaratstian N.', 'Unahalekhaka A.']",0,3
['Biomedicine A.'],0,1
"['Tamiyakul H.', 'Roytrakul S.', 'Jaresitthikunchai J.', 'Phaonakrop N.', 'Tanasupawat S.', 'Warisnoicharoen W.']",7,6
"['Vanichtantikul A.', 'Tantbirojn P.', 'Manchana T.']",0,3
"['Udomchaiprasertkul W.', 'Kitidumrongsook P.', 'Suphapeetiporn K.', 'Shotelersuk V.']",0,4
['Biomedicine A.'],0,1
"['De Juan-Corpuz L.M.', 'Corpuz R.D.', 'Somwangthanaroj A.', 'Nguyen M.T.', 'Yonezawa T.', 'Ma J.', 'Kheawhom S.']",31,7
"['Nalinratana N.', 'Meksuriyen D.', 'Ongpipattanakul B.']",3,3
"['Wachirapusitanand V.', 'Srimanobhas N.', 'Blekman F.']",0,3
"['Angsachon T.', 'Dhanawittayapol R.', 'Kritsarunont K.', 'Manida S.N.']",0,4
"['Louicharoen P.', 'Naiam K.', 'Tianprateep M.', 'Wannadelok O.']",0,4
"['Klawtanong M.', 'Srinitiwarawong C.']",0,2
['Rojjanason T.'],1,1
"['Tangjitsomboon P.', 'Ngamrungroj D.', 'Mongkolnavin R.']",2,3
"['Prawanta E.', 'Kitana N.', 'Leelasiriwong W.', 'Roongthumskul Y.']",0,4
"['Sukmas W.', 'Nedkun P.', 'Pinsook U.', 'Tsuppayakorn-Aek P.', 'Bovornratanaraks T.']",0,5
"['Butsriruk K.', 'Taychatanapat T.', 'Chatraphorn S.']",0,3
"['Sasom S.', 'Hengpunya V.']",0,2
"['Palasak H.', 'Pholsen N.', 'Tianprateep M.', 'Wannadelok O.']",0,4
"['Chanphana R.', 'Chatraphorn P.']",0,2
"['Ruchakorn N.', 'Ngamjanyaporn P.', 'Suangtamai T.', 'Kafaksom T.', 'Polpanumas C.', 'Petpisit V.', 'Pisitkun T.', 'Pisitkun P.']",35,8
"['Kumar R.', 'Ahmed J.', 'Anwar F.', 'Somrongthong R.']",6,4
"['Bodhisane S.', 'Pongpanich S.']",5,2
"['Saethang T.', 'Hodge K.', 'Yang C.-R.', 'Zhao Y.', 'Kimkong I.', 'Knepper M.A.', 'Pisitkun T.']",7,7
"['Roy K.', 'Debnath S.C.', 'Pongwisuthiruchte A.', 'Potiyaraj P.']",24,4
"['Sringean J.', 'Dressler D.', 'Bhidayasiri R.']",4,3
"['Puangprasert S.', 'Prueksasit T.']",28,2
"['Ashokkumar V.', 'Chen W.-H.', 'Kamyab H.', 'Kumar G.', 'Al-Muhtaseb A.H.', 'Ngamcharussrivichai C.']",39,6
"['Li K.', 'Chang X.', 'Pei C.', 'Li X.', 'Chen S.', 'Zhang X.', 'Assabumrungrat S.', 'Zhao Z.-J.', 'Zeng L.', 'Gong J.']",81,10
"['Yang C.', 'Xue Z.', 'Qin J.', 'Sawangphruk M.', 'Zhang X.', 'Liu R.']",83,6
"['Alzahrani F.', 'Rusi H.', 'Assabumrungrat S.', 'Fernandes D.L.A.', 'Aiouache F.']",5,5
"['Kiyoki Y.', 'Thalheim B.', 'DuzA- M.', 'Jaakkola H.', 'Chawakitchareon P.', 'Heimburger A.']",1,6
"['Chawakitchareon P.', 'Thalheim B.', 'Kiyoki Y.']",1,3
"['Kittirojrattanaa C.', 'Shibamotob E.', 'Koopipata C.', 'Hansuebsaia A.', 'Takano K.']",0,5
"['Kiyoki Y.', 'Chen X.', 'Veesommai C.', 'Rachmawan I.E.', 'Chawakitchareon P.']",2,5
"['Reddy Gangireddy M.', 'Mantipally M.', 'Gundla R.', 'Nayak Badavath V.', 'Paidikondala K.', 'Yamala A.']",11,6
"['Kidyoo M.', 'Kidyoo A.']",1,2
"['Pattharaprachayakul N.', 'Lee H.J.', 'Incharoensakdi A.', 'Woo H.M.']",13,4
"['Inkong K.', 'Veluswamy H.P.', 'Rangsunvigit P.', 'Kulprathipanja S.', 'Linga P.']",32,5
"['Abbasi A.', 'Nasef M.M.', 'Babadi F.E.', 'Faridi-Majidi R.', 'Takeshi M.', 'Abouzari-Lotf E.', 'Choong T.', 'Somwangthanaroj A.', 'Kheawhom S.']",15,9
"['Yi D.', 'Sanghvi S.', 'Kowalski C.P.', 'Haile S.M.']",7,4
"['Kaewnoo P.', 'Senivongse T.']",1,2
"['Amorndettawin M.', 'Senivongse T.']",4,2
"['Boonyawat S.', 'Vatanawood W.']",1,2
"['Jaimoon A.', 'Suwannasart T.']",2,2
"['Boon-In P.', 'Vatanawood W.']",1,2
"['Luengruengroj P.', 'Suwannasart T.']",2,2
"['Wongsalam S.', 'Senivongse T.']",1,2
"['Gulati U.', 'Vatanawood W.']",4,2
"['Chandratarat P.', 'Vatanawood W.']",1,2
"['Khetkarn K.', 'Vatanawood W.']",1,2
"['Mankong T.', 'Vatanawood W.']",0,2
"['Boonmepipit B.', 'Suwannasart T.']",3,2
"['Thawanthaleunglit N.', 'Sripanidkulchai K.']",1,2
"['Dahlan M.', 'Sutapun A.', 'Sangveraphunsiri V.']",0,3
"['Onutai S.', 'Jiemsirilers S.', 'Kobayashi T.']",0,3
