,title,authors,affiliations,citedby,mainterms,subject_areas,publisher,Year
0,Graphene oxide-alginate hydrogel-based indicator displacement assay integrated with diaper for non-invasive Alzheimer's disease screening,"['Boobphahom S.', 'Rodthongkum N.']","['Metallurgy and Materials Research Institute Chulalongkorn University', 'Chulalongkorn University', 'Institute of Molecular Biosciences, Mahidol University']",0.0,"['Alginate hydrogels', 'Alzheimers disease', 'Colorimetric sensors', 'Disease screening', 'Graphene oxides', 'Hydrogel colorimetric sensor', 'Indicator displacement assays', 'PV/cu2+-GO/alg hydrogel', 'Pyrocatechol violet', 'Urinary cysteine']","['Structural Biology', 'Biochemistry', 'Molecular Biology']",Elsevier B.V.,2023
1,"Rare coordination behavior of triethanolamine ligand in [Cu(H3tea)2](3,4-dimethoxycinnamate)2·2H2O: Synthesis, characterization, single crystal X-ray structure determination, Hirshfeld calculation and molecular docking studies","['Chauhan C.', 'Kumar R.', 'Saini A.', 'Kumar R.', 'Kumar J.', 'Kumar S.', 'Aree T.']","['Institute of Nano Science and Technology, Mohali', 'Chulalongkorn University', 'Himachal Pradesh University', 'Punjabi University', 'M.L.K. (P.G.) College']",0.0,"['Coordination behavior', 'Coordination complex', 'Copper(II)', 'Hirshfeld calculation', 'Molecular docking', 'Second sphere coordination', 'Single crystal X-ray', 'Single crystal x-ray structures', 'Triethanolamines', 'X-ray structure determinations']","['Analytical Chemistry', 'Spectroscopy', 'Organic Chemistry', 'Inorganic Chemistry']",Elsevier B.V.,2023
2,Total ammonia nitrogen removal and microbial community dynamics in an outdoor HDPE-lined shrimp pond with no water discharge,"['Satanwat P.', 'Tapaneeyaworawong P.', 'Wechprasit P.', 'Boonprasertsakul T.', 'Pungrasmi W.', 'Sritunyalucksana K.', 'Prachumwat A.', 'Powtongsook S.']","['Chulalongkorn University', 'Mahidol University', 'Thailand National Center for Genetic Engineering and Biotechnology']",0.0,[],['Aquatic Science'],Elsevier B.V.,2023
3,"Effects of microaeration and sludge recirculation on VFA and nitrogen removal, membrane fouling reduction and microbial community of the anaerobic baffled biofilm-membrane bioreactor in treating building wastewater","['Buakaew T.', 'Ratanatamskul C.']",['Chulalongkorn University'],0.0,"['Anaerobics', 'Anerobic baffled biofilm–MBR', 'Biofilm-MBR', 'Fouling reduction', 'Membrane bioreactor system', 'Membrane fouling reduction', 'Microaeration', 'Microbial communities', 'Sludge recirculation', 'VFA and nitrogen removal']","['Environmental Engineering', 'Environmental Chemistry', 'Waste Management and Disposal', 'Pollution']",Elsevier B.V.,2023
4,"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India","['Patchaiyappan A.', 'Arulkumar A.', 'Shynshiang K.', 'Anandkumar A.', 'Prabakaran K.', 'Basu A.', 'Sivasankar R.', 'Devipriya S.']","['Pondicherry University', 'Cochin University of Science and Technology', 'Chulalongkorn University', 'Institut Francais de Pondichery', 'King Fahd University of Petroleum and Minerals', 'Louisiana State University', 'Bar-Ilan University', 'CWF Labs: Transdisciplinary Healthcare &amp; Research']",0.0,[],"['Ecology, Evolution, Behavior and Systematics', 'Aquatic Science', 'Ecology', 'Animal Science and Zoology']",Elsevier B.V.,2023
5,"A comprehensive review on Saraca asoca (Fabaceae) - Historical perspective, traditional uses, biological activities, and conservation","['Urumarudappa S.K.J.', 'Rosario S.', 'G R.', 'Sukrong S.']","['Chulalongkorn University', 'Ashoka Trust for Research in Ecology and the Environment', 'University of Agricultural Sciences, Bangalore']",0.0,"['Ethnopharmacology', 'Fabaceae', 'Medicine, Traditional', 'Phytochemicals', 'Phytotherapy', 'Plant Extracts', 'Plants, Medicinal']","['Pharmacology', 'Drug Discovery']",Elsevier Ireland Ltd,2023
6,Potential natural antimicrobial and antibiofilm properties of Piper betle L. against Staphylococcus pseudintermedius and methicillin-resistant strains,"['Jantorn P.', 'Tipmanee V.', 'Wanna W.', 'Prapasarakul N.', 'Visutthi M.', 'Sotthibandhu D.S.']","['Prince of Songkla University', 'Nakhonratchasima Rajabhat University', 'Chulalongkorn University', 'Faculty of Medicine, Prince of Songkia University']",0.0,"['Animals', 'Anti-Bacterial Agents', 'Anti-Infective Agents', 'Bacteria', 'Biofilms', 'Dogs', 'Methicillin Resistance', 'Microbial Sensitivity Tests', 'Molecular Docking Simulation', 'Piper betle', 'Staphylococcal Infections', 'Staphylococcus pseudintermedius']","['Pharmacology', 'Drug Discovery']",Elsevier Ireland Ltd,2023
7,Rice straw-derived smoke water promotes rice root growth under phosphorus deficiency by modulating oxidative stress and photosynthetic gene expression,"['Pinit S.', 'Ariyakulkiat L.', 'Chaiwanon J.']","['Naresuan University', 'Chulalongkorn University']",0.0,[],['Multidisciplinary'],Nature Research,2023
8,Improving pharmaceutical analysis by incorporating green chemistry and smartphone technology: The assay for dissolution test of ethambutol tablets as an example,"['Thanayutsiri T.', 'Ruttanakorn K.', 'Laiwattanapaisal W.', 'Fernandez R.G.', 'Rojanarata T.']","['Chulalongkorn University', 'Silpakorn University', 'The Programmer']",0.0,[],"['Environmental Chemistry', 'Pollution', 'Pharmaceutical Science', 'Management, Monitoring, Policy and Law']",Elsevier B.V.,2023
9,Targeted sequencing analysis pipeline for species identification of human pathogenic fungi using long-read nanopore sequencing,"['Langsiri N.', 'Worasilchai N.', 'Irinyi L.', 'Jenjaroenpun P.', 'Wongsurawat T.', 'Luangsa-ard J.J.', 'Meyer W.', 'Chindamporn A.']","['Chulalongkorn University', 'Siriraj Hospital', 'Curtin Medical School', 'UAMS College of Medicine', 'The University of Sydney', 'Thailand National Center for Genetic Engineering and Biotechnology', 'Faculty of Medicine and Health', 'Faculty of Medicine, Chulalongkorn University', 'Westerdijk Fungal Biodiversity Institute - KNAW']",0.0,[],"['Ecology, Evolution, Behavior and Systematics', 'Agricultural and Biological Sciences (miscellaneous)']",BioMed Central Ltd,2023
10,Responding to an unprecedented shock — Elucidating how 113 DMOs changed the marketing communications on Twitter during the COVID-19 crisis,"['Taecharungroj V.', 'Pattaratanakun A.']","['Chulalongkorn Business School', 'Mahidol University']",0.0,[],"['Business and International Management', 'Tourism, Leisure and Hospitality Management', 'Strategy and Management', 'Marketing']",Elsevier Ltd,2023
11,Calcium phosphate ceramic as a model for enamel substitute material in dental applications,"['Rujiraprasert P.', 'Suriyasangpetch S.', 'Srijunbarl A.', 'Singthong T.', 'Makornpan C.', 'Nampuksa K.', 'Osathanon T.', 'Nantanapiboon D.', 'Monmaturapoj N.']","['Chulalongkorn University', 'Mahidol University, Faculty of Dentistry', 'Thailand National Science and Technology Development Agency']",0.0,[],['Dentistry (all)'],Springer Nature,2023
