,word,coefficient
11939,mers,2039.2727200185755
18760,spontaneously,1670.2532296302024
16606,rankl,1664.9250171452184
2681,caenorhabditis,1569.2797121316746
7504,flavokawain,1510.1265570046764
20923,unscented,1494.381289727625
9217,hypercalcemia,1382.5533235267671
11423,machines,1371.5319439025059
2207,biotechnological,1317.918104577352
20927,unstandardized,1256.1697688778577
8108,geospatial,1238.3318764490236
13667,nwp,1183.278942997676
1461,athletes,1148.8654664089852
10865,laying,1139.7840792605073
1604,automata,1135.1662527954954
19148,subclinical,1129.348842141483
6802,estimator,1111.6292524557691
5893,dosimetric,1104.9696800633983
9454,immunocastration,1086.7026594352196
16309,pulsatility,1083.35613244074
3398,chlortetracycline,1080.3172762282074
19022,storm,1079.072435759101
6098,easy,1078.8049195609065
12511,molybdenum,1070.6962097668654
38,abrasive,1068.845084803127
13976,organismal,1062.7288889747997
5556,dimitra,1046.7333866651604
6456,encased,1046.09204618709
4674,culturable,1039.09265153858
1010,antidepressant,1038.7134186536393
3749,coherence,1036.685334493964
10166,intron,1029.126930572686
21496,weak,1027.6404180057004
2774,canada,1016.8755849135655
12033,methamphetamine,1013.2006794651613
3391,chlorophylls,1011.8732673066814
3005,catabolite,1002.8710700513823
6998,exotic,1001.3661238217662
16147,protects,985.2637022908792
7442,fingerprint,984.0997758351926
389,aeration,983.5237729929493
11536,malate,979.6509155892686
2610,bunching,977.1633184306231
13427,nitrosamines,975.707567232201
9152,hydrogeochemistry,974.2928674186545
3616,clinicopathological,960.3603099665688
1345,asd,943.157451822564
10002,interferes,932.2634186746592
11799,measured,906.350135997004
17810,sclerosis,905.9539321923518
17023,reorganization,904.2039503170577
6759,erythropoiesis,902.2666808734718
4596,cruciate,896.2344947735844
10150,intrauterine,894.4431496283731
2794,candollei,890.8164334564553
4084,confidence,885.7838004571263
14924,phetchaburi,883.4435410615444
3667,cmt,882.92821110774
8094,geolocation,881.1012412163628
18947,stereotactic,880.407753434513
400,aeruginosa,877.543763116941
5765,distinguish,875.7136740700478
2401,botanical,870.6879420970736
14781,perovskite,868.533761313153
4022,concealed,865.1642247156378
1692,backhand,862.1414278208334
2110,bioflavonoid,860.3179274799769
18524,solely,855.9352365052084
11002,levans,854.6198028037132
4304,converters,849.8125448961714
7042,explant,849.6506403404081
11248,locate,848.4895081123229
5371,dexmedetomidine,846.2116946519053
828,anatomic,845.8997347832242
15464,polyglucan,842.2678152997431
3428,choosing,840.2904942238598
14256,pahs,834.934818424301
21442,wandering,832.4025250404567
1092,apathy,831.4100040659007
2362,bookings,826.4868139753562
1714,bacterium,825.5809553015116
14969,phosphor,815.7037249518386
17611,salinities,813.6979620022054
17027,repairing,811.8254097999344
8845,hexagon,805.9899062150411
5628,disciplines,800.9114091924455
2313,blooming,800.6255456890946
8761,hepatectomy,799.9990784966288
17121,resilient,799.2511084956019
16976,reluctance,796.6556310269129
11943,mesial,796.310045127579
8091,geographically,793.2200413157416
5067,defining,788.6668303551938
9879,insects,787.9129425984198
5806,divisor,783.9590085495198
10483,kanchanaburi,774.4162735787755
11642,manufactured,769.0615018801764
2369,boosted,766.9397989321676
4623,cryptocurrency,761.7477035469458
10930,leibniz,759.7348309238866
11067,ligation,757.9809201283629
251,add,752.6288903379266
16347,purpose,752.4716532163835
5813,dl,751.3780284382083
17701,sauce,746.2245548447851
16710,rebt,744.6266690380126
20131,tip,740.2669157292878
4047,concordance,735.0106811992682
3697,coaxial,734.4957282711433
16667,reactivity,734.228724235432
19719,taxa,733.7024104891061
16322,punch,729.2731751739897
15092,physiosomatic,725.0598227696722
17949,selling,722.689071905616
5208,depends,716.130730764763
11310,lot,715.9104216902431
18985,stimulus,712.9247278928125
17774,schema,712.604270507573
18006,sentence,712.5438835455697
20954,upgradation,709.8941130263358
2360,book,706.8760568611676
16030,programmed,706.1837483122073
12160,microfibers,704.2394089111428
3518,citation,703.0868016458131
773,amplified,703.0427610221891
3234,changuinola,699.5190164660004
7899,gabaergic,696.3048507341575
20565,trimethoprim,695.7511206957704
16477,quercus,694.8256026583041
19816,teneurin,687.9659636461125
3101,cecum,686.9542825993543
5490,difficulty,683.5398165766939
20707,twisted,682.1579306729535
6711,equitable,679.7286779626733
2696,cakes,678.2132275751056
8194,glioblastomas,677.7401760204968
15569,popliteal,676.0956724006609
5216,deposit,673.3080593456014
19473,sushi,670.7022003375066
16496,quinoline,666.2116395694972
12770,multilocus,665.9908974697346
8766,hepatoblastoma,665.6632117290269
11615,manifested,664.0991346719275
11625,manipulating,663.5475494892239
17476,round,662.2872716357707
9604,incisor,659.1796667186592
7778,freshness,659.1284946012814
8699,helper,658.891404086675
12350,mirrors,657.0515330726136
12207,microscopy,654.5839471062577
10573,khone,650.9988901655161
142,achilles,650.0192163653575
14397,parasitemia,645.9458131303844
8238,glutamine,640.6268838103213
49,absorbent,638.2916442060816
14787,peroxisome,636.463300051832
3430,chopstick,634.9843149658295
9925,insulation,634.4676261487344
1891,bee,633.1902700313623
13814,oligodeoxyguanosine,633.073703653992
1746,balochistan,632.5921718049125
5271,description,632.4754980568479
