,word,coefficient
0,aaron,8737419950873.594
11139,lipa,8515080739020.304
10716,lacking,5642418179856.394
4,abamectin,5470945879369.168
2065,biobutanol,5250914927485.938
14,abducens,4940281483031.612
7,abattoir,4811034414386.244
12,abdominis,3917253447423.8403
7660,forced,3806781536893.666
2299,bloc,3093262015722.5093
9827,initio,2993281749146.488
2728,calligraphic,2949696794671.393
15,abduction,2939706447482.541
19279,sukhodaya,2776125811324.0293
18,aberrancy,2648839039452.469
30,ablepharon,2557861606974.7334
14675,peptidome,2104655355488.2727
2154,biomimetic,1994517440548.6895
9874,inscriptions,1652045190364.8777
157,acidophilic,1645599417822.6492
13529,nonreligious,1629781341869.3843
127,acetonitrile,1526422466005.3958
472,aglycone,1506133869305.5066
10507,kebbi,1452041586693.5442
10041,interno,1391050424783.599
238,acyanotic,1378989629396.489
314,adjusted,1334496389337.4836
5854,domesticated,1263811762926.897
9619,incompatibility,1263804576448.8306
21256,vicinities,1253258327591.469
971,antheromorpha,1188297371419.7068
6903,evisceration,1131077593104.6558
590,alkasite,1116184051706.4546
1130,appealing,1101765475198.647
2198,biosphere,1055858690877.0673
97,accompanied,1033511533484.5879
1394,assembling,1009368438784.192
8549,haliotis,998193454957.2036
144,achlorophyllous,983368057281.8319
5744,dissociative,967673143311.7003
635,alluvial,958334772067.2924
2707,calcinosis,948002779981.2206
6439,en,941501589518.0742
2314,blooms,935324448170.1035
7714,fossil,920445295787.4049
14143,overexpression,916179378716.0396
220,activists,899762056525.8761
308,adjectives,892287427862.7446
1359,asinina,889027469441.4365
706,ameliorative,879076010151.121
239,acylated,872259451140.9219
179,acromioclavicular,871614703274.5864
1308,arthrodesis,846959802156.8785
362,adultos,840221704553.7373
126,acetonide,835800567341.2896
2405,botryococcus,815662556405.3193
1552,aum,788011307356.9794
975,anthracene,786735480655.4987
327,admiration,783437177104.762
688,amalgamating,779415848470.7188
1311,arthroscope,773365656245.5657
2106,biofertilizer,772445321406.6261
879,angiomatosis,733027799137.5587
186,acrylates,724475460536.1979
886,angled,719329968352.8203
246,adapter,713941482766.4279
393,aerodramus,712981271288.7769
93,acclimated,711358475647.8998
1178,aptes,708486049150.4841
63,abutments,708137415955.4066
557,alert,703352097170.9349
207,actions,699596668148.5737
403,aesthetics,698774456881.7012
1077,antivirales,695866495245.141
290,adhesin,693641369067.5516
452,aggrecan,693231133240.0322
1229,archwire,688985548775.9531
1284,arrhythmogenic,687193637852.3805
121,aceti,684825625652.8357
151,acidification,682944448091.8726
2312,bloody,675587672585.9603
77,accelerator,674276022766.6082
3469,chumphonensis,671524916565.0115
597,alkynes,670134431396.6792
275,adenomas,666868288629.8254
762,amphipithecine,665913423913.13
364,adulyadej,665256243813.6755
14227,pace,663096192094.645
235,acuta,645898620398.687
1697,backward,637890784536.2869
4027,concentrates,628367745464.0405
1797,barn,623861074274.4357
1344,ascospore,614316914081.7654
9776,infrapatellar,612374897622.8478
2925,cardioverter,608179745622.8954
383,aegistohadra,605470184315.6499
1244,arginine,605292039226.2036
3128,cenomanian,603860723363.2382
10397,jerusalem,600849408531.2765
1852,bax,599769015053.9741
1331,arvensis,598943999309.3335
1943,benzamides,591612674280.724
1170,aprendizaje,591293669566.3723
21532,welcome,591025253542.1216
339,adolescentsevidencia,589357608826.8723
819,anaphors,583965644642.3711
14600,pediococcus,583710711123.6085
6019,duplication,579504905785.6932
1115,apocynaceae,577261636114.3721
1424,assurance,571552216361.4647
450,aggravates,571118524243.6617
20513,tribe,568589512032.0974
1383,asr,563709812287.1599
537,albizia,563085663177.8798
17792,schubertii,563046528177.9841
1081,ants,562346567733.0388
88,accessions,557456775625.1737
556,aleiodes,554548349256.5145
1197,arabinoxylan,553127496459.8793
328,admission,551801943895.1088
979,anthraquinones,550972266768.0071
1561,aures,550910316571.3
3381,chlorinated,547080384531.04803
6215,eine,545954483839.1377
506,airasia,544729086921.3358
1435,astrocytes,544550002974.89795
1759,bandhu,543569543934.9182
5256,dermis,543326283937.7123
183,acrotrione,541488313788.65295
739,amir,540871866705.96497
7016,expenditures,540047065106.7219
1830,basophilic,539013235683.6227
1033,antihyperalgesic,537370810097.6451
21531,weizmannia,533143758981.71246
7864,funkei,532266456486.2909
748,amomum,531973275426.48157
7811,frullanolide,531325302522.1307
15345,plyometric,529284021119.6754
15145,piericidin,528832038606.349
5496,diffusivities,527453352423.02905
272,adenine,526501223495.48254
811,analytically,526267799453.6471
10045,interoperable,517181459242.1973
1605,automate,516025526897.9147
232,acupressure,515243136945.4336
693,amaurosis,513763393109.31854
2509,brewing,512849892618.8252
2376,borate,509086136237.54095
498,ahom,507313696757.522
778,ampullary,506292361779.219
13837,omo,502939650099.3919
1894,beers,501058586415.7096
16817,reducible,498834299403.1664
21016,usnea,497720754657.20184
10835,lates,497311442539.43036
3647,clouded,490527704455.027
1320,artifact,489289891942.89514
615,alligatorids,488856942277.03107
19264,sufficient,488327308233.5597
2290,blepharospasm,487062251733.99243
134,achievable,486959190931.582
4404,corresponding,484412544871.25684
749,amorolfine,482351240815.7587
1302,arteriovenous,479965812242.46173
1237,areal,479948227862.14545
2122,biogeochemically,478301369017.7656
6314,elegans,474761812199.15295
1086,anyplex,469289674313.8534
487,agroecological,468575091639.16174
197,actinomadura,465650971561.1127
868,anfluorescence,464545438331.5226
10911,lecturers,463179883840.3156
651,alpinia,462065183070.69006
2565,bryonolic,460357209848.5902
759,amphibolite,459726054700.06665
3663,cmb,459645927725.2831
650,alphavirus,458285129410.9739
7862,fungistasis,457235989603.4506
8636,haynes,456518817469.0125
13813,oligodendrocyte,451977555456.141
1678,baan,449788882730.5499
596,alkylsulfonylation,449455329706.54816
4257,contraction,449012442519.14746
2382,borders,448858918119.82306
1802,barrette,448411272406.4493
19552,synbiotic,448385482331.7184
2553,brought,447786957203.4568
19001,stocks,447058689838.58527
916,anniversary,445465272976.73895
1009,antidandruff,445430221383.26465
5758,distilbert,445178970908.90326
2000,biases,444803773132.0771
1517,attire,444073466644.5373
1217,archaeometallurgical,442234957861.62634
7237,farmed,441683223035.9901
7917,galactose,441196641299.77606
5237,depthwise,440671619860.92084
7597,fluoroquinolone,440034074117.3131
17514,rules,439806698955.1486
910,ankyrin,439718039781.6723
13729,oceania,439394872615.30695
4497,coworking,438269590166.3917
17074,reproductivity,438012168098.6143
4567,crocodile,436301805774.28015
7329,fermentans,436039884642.27905
7215,fallot,435437220571.4533
6638,epibiosis,435278186857.00635
3033,caterpillar,434321932204.9058
2711,calcitonin,433067792476.50116
9723,infecting,432840105738.54553
15368,pododermatitis,431211205672.4221
5064,definable,429843845418.46686
1693,backhauls,428975263530.4679
1682,babylon,427226530756.3962
13491,nongenetic,427160962350.489
14234,pack,425728369294.67804
6574,ensuring,425516793721.4123
1505,attendance,424164383983.33734
1318,articular,423882428663.8129
1963,berfilamen,423270506975.0984
7490,flap,422938814332.90106
167,acnes,422261095590.43414
1941,bentu,422170005848.5978
1551,aulonocara,421490204335.308
2546,bronsted,421352110205.4263
7729,fpg,420633769366.25793
14533,patong,420625055305.015
20607,tropilaelaps,420046257126.1574
625,allometries,419959503629.6624
13580,nortriptyline,418832976849.76227
6754,erythrocytic,417625166799.3951
1808,basada,416866100746.0117
5087,degradations,416851699496.9594
4035,conceptualisation,415560857242.4413
3437,chosen,414578832454.36096
521,akaisphecia,414508493615.097
11053,lifespan,413948034975.421
1720,baenzigeri,412032221373.8091
241,adapt,409327579592.3616
1324,artistry,408491074414.7814
4110,confronting,407928801349.0669
19171,subintegra,407802760309.28625
19848,terpsicore,407160033538.5406
4849,cytoplasm,407120768775.85535
16783,rectification,406080979062.6484
3401,choi,404934732266.0894
1747,bambara,403031887303.11456
20656,tulip,402280548686.8416
1211,arbutin,401659006622.59973
11928,mercedesae,400655671518.6545
15052,phthisical,400615762022.5061
4933,dct,400081144525.38464
1363,asparagine,399919555179.2011
154,acidithiobacillus,399649606051.2969
7087,extensor,398906520861.01544
2002,biaxially,397751963078.32056
1391,assembled,397714566263.99585
4376,coromandel,397050377581.4418
21416,vulcanizing,396100514385.55304
1462,atlas,395784697168.153
12121,microbicidal,395013461682.8878
12133,microbypass,394184942299.9343
12306,mines,394166185615.8697
18856,stand,393626678284.6745
2841,capsici,391973102139.01154
11700,marsupenaeus,391894772064.0384
106,accretion,390811569278.28925
19747,tech,390646086559.44226
12203,microsatellite,390443324121.8095
7737,fractural,389354776200.11206
4390,corrected,388255928957.85004
1117,apoidea,387841686390.91785
9502,immunotherapeutic,387511032561.8729
9247,hyperoxia,387361702175.05054
1058,antiproliferasi,386961164474.42645
323,administrated,386695198314.51794
2149,biomedically,386387714700.0351
948,anorectal,385394112316.6866
11781,mct,384805841067.60504
11605,mangiferin,382995192682.08435
55,abstinence,382812517150.989
1620,autorefraction,382315045965.47284
8567,halotolerans,382247626364.303
5836,doe,381934408191.55853
9142,hydrofluoric,381906305714.6276
2906,cardepine,381465628852.5523
2262,bizarre,381290044710.0466
2574,bubbles,380637537169.9815
13337,neutrons,380491060386.5736
531,alanine,380025169747.6712
15129,picolinate,379420381787.4599
2597,bulbar,378864267785.32086
5353,developement,378594658393.8294
8908,histogram,378484815764.68695
305,adiposity,377571517690.41754
7782,frictional,377173384184.8495
1373,aspergillosislupus,377119241807.9276
19371,supernatants,376096619712.22363
37,abrasion,375846811077.41235
1405,assignment,375802363752.1867
4348,corallincola,375685818758.8406
7979,gastrochilus,375475227115.8788
1221,architects,375206595194.7874
269,adducts,374484177804.53894
992,antibiogram,374255042158.6321
3261,charges,373903742528.7732
1564,auricularia,372644897389.4847
3709,cockroach,372146715860.08307
3525,citreum,370363426691.90967
5725,dispute,370331396996.2436
13758,odoratissimus,369259001659.163
757,amphetamines,368916031601.354
6699,equex,368874838877.269
19797,tempering,367839901849.8505
2737,calming,366157211960.8468
