title,authors,affiliations,citedby,publisher,Year
Measuring the Queen Bee Phenomenon in technically efficient firms: implications from Southeast Asian manufacturers,Amornkitvikai Y.,Chulalongkorn University (Thailand),0,Routledge,2024
"Growth, total lipid content and fatty acid composition of Amphora sp. isolated from Gulf of Thailand as alternative lipid source in larviculture",Thongdet E.,Chulalongkorn University (Thailand); Mahanakorn University of Technology (Thailand),0,Kasetsart University,2024
Innovations in Stroke Identification: A Machine Learning-Based Diagnostic Model Using Neuroimages,Saleem M.A.,Chulalongkorn University (Thailand),5,Institute of Electrical and Electronics Engineers Inc.,2024
"Survival, complications, and patient-reported outcomes of endodontically treated teeth versus dental implant-supported prostheses: A systematic review",Sinsareekul C.,Chulalongkorn University (Thailand),0,Elsevier Inc.,2024
Transnational innovation systems for bioeconomy: insights from cassava value chains in East Africa,Lutta A.I.,World Agroforestry Centre (Kenya),0,Frontiers Media SA,2024
"Intersectional Powers of Digital Repression: How Activists are Digitally Watched, Charged, and Stigmatized in Thailand",Sombatpoonsiri J.,Chulalongkorn University (Thailand),1,University of Southern California,2024
Diseases of bile duct in children,Eiamkulbutr S.,King Chulalongkorn Memorial Hospital (Thailand),1,Baishideng Publishing Group Inc,2024
Development and design of CRISPR-based diagnostic for Acinetobacter baumannii by employing off-target gene editing of sgRNA,Baqar Z.,City University of Hong Kong (Hong Kong),0,Elsevier Ltd,2024
Radial head replacement with the 3D-printed patient-specific titanium prosthesis: Preliminary results of a multi-centric prospective study,Luenam S.,Phramongkutklao College of Medicine (Thailand),1,SAGE Publications Ltd,2024
"The impact of environmental, social and governance (ESG) reporting on corporate profitability: evidence from Thailand",Treepongkaruna S.,"Sasin School of Management, Bangkok (Thailand)",4,Emerald Publishing,2024
Trends of regenerative tissue engineering for oral and maxillofacial reconstruction in veterinary medicine,Purbantoro S.D.,Chulalongkorn University (Thailand),0,Frontiers Media SA,2024
Selection of Lightweight CNN Models with Limited Computing Resources for Drone Collision Prediction,Zufar R.N.,Chulalongkorn University (Thailand),1,ECTI Association,2024
Identification and α-glucosidase inhibitory activity evaluation of two new coumarins derived from Mansonia gagei J. R. Drumm.,Le H.T.T.,Ho Chi Minh City University of Education (Viet Nam),0,Taylor and Francis Ltd.,2024
"Facile and size-controllable fabrication of copper nanoparticles on nitrogen-doped carbon dots using an N,N-dimethylformamide-based reduction approach",Kaittidanusorn N.,Chulalongkorn University (Thailand),3,Elsevier B.V.,2024
Efficiency of membrane fusion inhibitors on different hemagglutinin subtypes: insight from a molecular dynamics simulation perspective,Nunthaboot N.,Mahasarakham University (Thailand),0,Taylor and Francis Ltd.,2024
Subjective and Physiological Correlations during Field-Based Soccer Training,Kaewchuay S.,Mahidol University (Thailand),0,American Society of Exercise Physiologists,2024
A Comprehensive Simulation Study of Polymer Enhanced CO<inf>2</inf> Injection in Light Oil Reservoirs,Laochamroonvorapongse R.,Chulalongkorn University (Thailand),0,Offshore Technology Conference,2024
