title,authors,affiliations,citedby,publisher,Year
Efficient catalytic regeneration of amine-based solvents in CO<inf>2</inf> capture: A comprehensive meta-analysis,Imran-Shaukat M.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
"Diverse roles, advantages and importance of deep eutectic solvents application in solid and liquid-phase microextraction techniques – A review",Khan W.A.,Abdul Wali Khan University Mardan (Pakistan),0,Elsevier B.V.,2025
A descriptive review of the role of exogenous bovine somatotropin on milk secretion mechanisms at different stages of lactation in crossbred Holstein cattle in the tropics,Chaiyabutr N.,Thai Red Cross Agency (Thailand); Chulalongkorn University (Thailand); Royal Society of Thailand (Thailand),0,Chiang Mai University - Faculty of Veterinary Medicine,2025
Calcium chloride supplementation in sows: Enhancing farrowing efficiency and piglet viability during transition period,Ruampatana J.,Chulalongkorn University (Thailand),0,Elsevier Inc.,2025
Engineering Nicotiana benthamiana for production of active cannabinoid synthases via secretory pathway optimization,Bolaños-Martínez O.C.,Chulalongkorn University (Thailand); BOKU University (Austria),0,Elsevier B.V.,2025
Machine-learning-accelerated density functional theory screening of Cu-based high-entropy alloys for carbon dioxide reduction to ethylene,Rittiruam M.,Walailak University (Thailand),0,Elsevier B.V.,2025
Life cycle assessment of beverage packaging in Thailand: Implications from modeling choices and alternative improvement policies,Kositcharoenkul P.,Mahidol University (Thailand),0,Elsevier B.V.,2025
"Habitability for a connected, unequal and changing world",Sterly H.,Universität Wien (Austria),0,Elsevier Ltd,2025
Evaluation of Ventilation Strategies to Mitigate Airborne Infection Risk in a Dental School: A Three-Dimensional CFD Analysis of Airflow Patterns and Ventilation Efficiency,Chaloeytoy K.,Chulalongkorn University (Thailand),0,Semarak Ilmu Publishing,2025
Extremality of factorizable copulas and implicit dependence copulas,Santiwipanont T.,Chulalongkorn University (Thailand),0,Academic Press Inc.,2025
Iron metabolism dysfunction in neuropsychiatric disorders: Implications for therapeutic intervention,Duarte-Silva E.,Universidade de São Paulo (Brazil); Universal Scientific Education and Research Network (USERN) (Brazil),0,Elsevier B.V.,2025
"Insights into the inhibitory activity and mechanism of natural compounds from Rhinacanthus nasutus on α-glucosidase through kinetic, molecular docking, and molecular dynamics studies",Le T.K.D.,Ton-Duc-Thang University (Viet Nam),0,Elsevier B.V.,2025
"Supplementation of Bacillus subtilis probiotics supports health and gut microbiome in barramundi (Lates calcarifer, Bloch 1790)",Tanpichai P.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
Novel highly selective quinoline-based fluorescent chemosensors for quantitative analysis of Cu(II) ion in water and food,Senpradit Y.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
"Authors reply: “Outcomes of continuous renal replacement therapy versus peritoneal dialysis as a renal replacement therapy modality in patients undergoing venoarterial 72 extracorporeal membrane oxygenation""",Thanapongsatorn P.,Thammasat University Hospital (Thailand); Central Chest Institute of Thailand (Thailand),0,W.B. Saunders,2025
Lack of fusion-induced cracking effect on tensile and fatigue behaviours of laser powder-bed fusion-processed Ti-6Al-4V implant,Aliyu A.A.A.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Near real-time flood forecasting system for the Greater Chao Phraya River Basin,Polsomboon P.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
Analytical procedure for tracing acrylamide and sulfonated co-polymers in groundwater affected by chemical enhanced oil recovery activities,Sapyen W.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
Optimizing fosfomycin dosing regimens in critically ill patients with and without continuous renal replacement therapy,Charoensareerat T.,Siam University (Thailand),0,W.B. Saunders,2025
Catalytic co-pyrolysis of yellow poplar and HDPE using MOF-incorporated HY zeolite catalysts,Ratthiwal J.,Thammasat University (Thailand),0,Elsevier Ltd,2025
"Pathogenomic profiling: Decoding the pathogenic potential of virulent Bacillus cereus associated with mortality of farmed Labeo rohita (Hamilton, 1822), in India",Pakhira A.,"ICAR - Central Inland Fisheries Research Institute, Barrackpore (India); Haripal G.D. Institution (India)",0,Elsevier B.V.,2025
"Near-stop in spermatogonia progression and reduced sperm motility in two testis forms of captive North African catfish in Kalasin, Thailand",Rey J.,Kasetsart University (Thailand),0,Elsevier B.V.,2025
Delivery of virus-specific dsRNA using a composite nanomaterial improves the protection of shrimp (Litopenaeus vannamei) against yellow head virus challenge,Suksai S.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
Development and applications of the real-time polymerase chain reaction method for rapid quantitative detection of the newly emerged novel genotype of Decapod hepandensovirus 1 in Penaeus vannamei,Kim B.,Kyungpook National University (KNU) (South Korea),0,Elsevier B.V.,2025
Study on the treatment of carbon black for slurry electrodes of all-iron redox flow batteries,Devi N.,National Chung Cheng University (Taiwan),0,Elsevier Ltd,2025
Performance assessment of novel catalytic spouted-bed vapor jet flow heat exchanger in amine-based carbon capture process,Yang C.,Clean Energy Technologies Research Institute (Canada),0,Elsevier B.V.,2025
Spatiotemporal dynamics and tidal transport of microplastics in the tropical waters of the Gulf of Thailand,Chinfak N.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Novel bioelectrode for sweat lactate sensor based on platinum nanoparticles/reduced graphene oxide modified carbonized silk cocoon,Phamonpon W.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
Direct analysis in real time mass spectrometry (DART-MS) for rapid screening of Carpaine in Carica papaya leaf products,Khaoiam P.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
"Production of a monoclonal antibody specific to the IgM heavy chain of Asian seabass (Lates calcarifer Bloch, 1790) and its application in assessing health status following vaccination and challenges with Flavobacterium covae and Streptococcus iniae",Uchuwittayakul A.,Kasetsart University (Thailand),0,Elsevier B.V.,2025
Chemical recycling of polystyrene resin and its single-used products via nitric acid oxidation: Mechanisms and effects of other plastic contaminations,Pinsuwan K.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Enhanced long-term stability of zinc-air batteries using a quaternized PVA-chitosan composite separator with thin-layered MoS<inf>2</inf>,Suppanucroa N.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Techno-economic analysis of broiler chicken farm waste in Thailand to produce power via integration of combined gasification and fuel cell systems,Malik F.R.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Unveiling a paradigm shift in supercapacitor dynamics: γ-Al<inf>2</inf>O<inf>3</inf>-infused ZnO nanorods with redox-active K<inf>4</inf>Fe(CN)<inf>6</inf> alkaline electrolytes,Sanni A.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Exploring the impact of material selection on the efficacy of hot-melt extrusion,Kapoor D.U.,Dr. Dayaram Patel Pharmacy College (India),0,Elsevier B.V.,2025
Surface engineering with bifunctional layer in LiNi<inf>0.5</inf>Co<inf>0.2</inf>Mn<inf>0.3</inf>O<inf>2</inf> for high-performance cathode materials of lithium-ion batteries,Zhao Y.,Yanshan University (China),0,Elsevier Ltd,2025
Self-assembled 3D-flowers of CoS<inf>2</inf>-MoS<inf>2</inf>@NGA grown on graphene aerogel: As an emerging reliable electrocatalyst for hydrogen production in alkaline and acidic medium,Kumar P.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Unveiling reaction mechanisms of non-aqueous aprotic Zn-ion batteries – Zn/LiFePO<inf>4</inf> system,Chinnakutti K.k.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
"Exploration of thiosemicarbazone-quinolone hybrids over in-silico, antioxidant, and zebrafish embryo toxicity studies",Adhiyaman K.,Bharathiar University (India),1,Elsevier B.V.,2025
Andrographolide attenuates SARS-CoV-2 infection via an up-regulation of glutamate-cysteine ligase catalytic subunit (GCLC),Chaopreecha J.,"Faculty of Science, Mahidol University (Thailand)",0,Elsevier GmbH,2025
Links to Cyberbullying of Risky Online Behavior and Social Media Addiction among Students in Grades 7-9 in Bangkok,Atsariyasing W.,Siriraj Hospital (Thailand),0,Prince of Songkla University,2025
"The Myanmar Version of the Oswestry Disability Questionnaire: A Cross-Cultural Adaptation, Reliability and Validity Study in the Low Back Pain Population",Oo P.S.,Chulalongkorn University (Thailand),0,Prince of Songkla University,2025
Heavy metal contamination in marine fish from the Andaman sea: Influence of habitat and health risk assessment,Prabakaran K.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Thai Millennials’ Engagement with Carbon Footprint Tracking: Extended TAM Approach,Thanapongporn A.,Chulalongkorn University (Thailand),0,Bilingual Publishing Group,2025
Aquatic microplastics research in the ASEAN region: Analysis of challenges and priorities,Nakano H.,"Kyushu University, Research Institute for Applied Mechanics (Japan); Kyushu University (Thailand)",0,Elsevier Ltd,2025
Dynamic Response and Non-Destructive Test of PU-Based Polymer Concrete Supported with SVM Model,Haruna S.I.,Tianjin University (China); Prince Sultan University (Saudi Arabia),0,Springer Science and Business Media Deutschland GmbH,2025
Waste lignocellulosic biomass-derived graphitic carbon encased bimetallic nickel‑palladium oxide nanofibers for efficient organic dye pollutant removal and antibacterial actions,MariaJoseph A.L.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
"Influence of diet nutrient density and a multicarbohydrase containing α-galactosidase on performance, carcass characteristics, breast myopathies, and nutrient utilization of broilers reared from 1 to 42 days of age",Gulizia J.P.,Auburn University (United States),0,Elsevier Inc.,2025
A systematic review of life cycle assessment and environmental footprint for the global coffee value chain,dos Muchangos L.S.,The University of Tokyo (Japan),0,Elsevier Inc.,2025
The burden of alcohol and substance use disorders in adolescents and young adults,Danpanichkul P.,TTUHSC School of Medicine (United States),0,Elsevier Ireland Ltd,2025
Effect of ethanol concentration on the catalytic performance of WO<inf>3</inf>/MCF-Si and WO<inf>3</inf>/SBA-15 catalysts toward ethanol dehydration to ethylene,Trongjitraksa P.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
Farmers’ adaptation to climate change in Pakistan: Can their climate risk management strategies lead to sustainable agriculture?,Saqib S.E.,Chulalongkorn University (Thailand),0,Academic Press,2025
Assessing dissociation: A systematic review and evaluation of existing measures,Wainipitapong S.,"King's College London (United Kingdom); Faculty of Medicine, Chulalongkorn University (Thailand)",0,Elsevier Ltd,2025
Boar semen microbiome: Insights and potential implications,Ngo C.B.,Chulalongkorn University (Thailand),0,Elsevier B.V.,2025
A comprehensive review of anodic TiO<inf>2</inf> films as heterogeneous catalysts for photocatalytic and photoelectrocatalytic water disinfection,Santos J.S.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Navigating climate policy uncertainty: Impacts on continuous innovation in corporations,Ling S.,"Shandong University, Weihai (China)",0,Elsevier Ltd,2025
"High-specific capacitance, binder-free composite electrodes prepared from carbon dots embedded in copper oxide-nickel oxide nanowires grown on nickel foam for asymmetric supercapacitors",Pholauyphon W.,Thammasat University (Thailand),0,Elsevier B.V.,2025
Polytetrafluoroethylene (PTFE) microplastics affect angiogenesis and central nervous system (CNS) development of duck embryo,Campos A.R.A.,Mindanao State University – Iligan Institute of Technology (Philippines),0,KeAi Communications Co.,2025
A More Effective Social Protection System for Older Workers: A Case Study of the Older Adult Employment Project in Thailand,Pechdin W.,Thammasat University (Thailand),0,"Mahidol University, Institute for Population and Social Research",2025
"Petrogenesis of REE-mineralized granitic plutons in central Thailand, Southeast Asian tin belt: New insights from geochemistry and zircon U–Pb geochronology",Watthanapond P.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
An efficient procedure for prediction of the load-displacement curve of CFDST columns,Vu Q.V.,Van Lang University (Viet Nam); Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Assessing thermal comfort in hot and humid (tropical) climates: Urban outdoor and semi-outdoor conditions in waiting areas of railway stations,Sadakorn W.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Clinical trials of intratesticular administration of nanostructured lipid carriers encapsulated alpha-mangostin: Safety and efficacy on feline reproductive health,Leelakajornkit S.,Chulalongkorn University (Thailand),0,Elsevier Inc.,2025
Plastic seismic design of moment-resisting frames using concrete-filled steel tube columns,Sepahvand M.F.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
"Recent advances in metal-loaded MOFs photocatalysts: From single atom, cluster to nanoparticle",Zhou S.,University of Science and Technology Beijing (China),0,Elsevier B.V.,2025
Stabilizing zinc anodes by a solvation sheath modification with toluenesulfonate additive,Liu H.,Shenyang University of Technology (China),1,Elsevier B.V.,2025
Building in Uncertain Time: Investigating New Normal Construction Risks Arising from the Military Coup,Aung Z.B.,Mahidol University (Thailand),0,Springer Science and Business Media Deutschland GmbH,2025
Mitigating ionospheric scintillation effects on RTK-based long-span bridge deformation monitoring,Gao R.,"Innovation Academy for Precision Measurement Science and Technology,CAS (China); University of Chinese Academy of Sciences (China)",0,Elsevier B.V.,2025
Transcriptomic and microbiome analyses of copepod Apocyclops royi in response to an AHPND-causing strain of Vibrio parahaemolyticus,Prayoonmaneerat N.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Collaborative outcomes study on health and functioning during infection times (COH-FIT): Insights on modifiable and non-modifiable risk and protective factors for wellbeing and mental health during the COVID-19 pandemic from multivariable and network analyses,Solmi M.,L'Hôpital d'Ottawa (Canada); University of Ottawa (Canada); Charité – Universitätsmedizin Berlin (Germany); University of Southampton (United Kingdom); King's College London (United Kingdom); Ottawa Hospital Research Institute (Canada),1,Elsevier B.V.,2025
Chemical constituents with their alpha-glucosidase inhibitory activity from the whole plant of Ceratophyllum demersum,Duong T.H.,Ho Chi Minh City University of Education (Viet Nam); Thammasat University (Thailand),0,Elsevier Ltd,2025
Can online behaviors be linked to mental health? Active versus passive social network usage on depression via envy and self-esteem,Nguyen N.D.,National Sun Yat-Sen University (Taiwan); The University of Texas at San Antonio (United States),0,Elsevier Ltd,2025
"Maeruines A−E, elusive indole alkaloids from stems of Maerua siamensis and their inhibitory effects on cyclooxygenases and HT-29 colorectal cancer cell proliferation",Nukulkit S.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Theoretical investigation of sustainable CO<inf>2</inf> electroreduction to high-value products utilizing N-doped/BN-modified Triphenylene-Graphdiyne catalysts,Kongkaew S.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Liquid crystalline elastomers/glycerol-based solid polymer electrolytes with shape memory properties for Zn-ion battery applications,Prathumrat P.,Metallurgy and Materials Research Institute Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
Optimizing the impact and interaction of crystallizer size and experimental setup for sII methane hydrate formation using response surface methodology,Jeenmuang K.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
PCR-free and minute-scale electrochemical analysis of porcine DNA adulteration via molecularly amplified DNA sandwich assay,Lapee-e V.,Chulalongkorn University (Thailand),0,KeAi Communications Co.,2025
Changes in quality attributes of coconut water treated with UV-radiation and nisin during cold storage: Kinetics modelling and shelf-life prediction,Ceballos M.W.,Chulalongkorn University (Thailand),1,Elsevier Ltd,2025
Comparative analysis of Salmonella contamination in pork slaughtering facilities: Implications for food safety,Saenkankam I.,Chulalongkorn University (Thailand),0,Elsevier Ltd,2025
